id,name,city,state,Latitude,Longitude,C_D,Street number,Street,City,State,Country,Zip,Full_Address,,,,,,,,c_d
452,Centennial Beer Company,Edwards, CO,39.644986,-106.5942,Edwards  CO,,,Edwards,Colorado,United States,81632,"Edwards, Eagle County, Colorado, United States, 81632",,,,,,,,EdwardsCO
82,New Belgium Brewing Company,Fort Collins, CO,40.5852602,-105.084423,Fort Collins  CO,,,Fort Collins,Colorado,United States,,"Fort Collins, Larimer County, Colorado, United States",,,,,,,,FortCollinsCO
441,Pateros Creek Brewing Company,Fort Collins, CO,40.5852602,-105.084423,Fort Collins  CO,,,Fort Collins,Colorado,United States,,"Fort Collins, Larimer County, Colorado, United States",,,,,,,,FortCollinsCO
462,AC Golden Brewing Company,Golden, CO,39.755543,-105.2210997,Golden  CO,,,Golden,Colorado,United States,,"Golden, Jefferson County, Colorado, United States",,,,,,,,GoldenCO
515,Crabtree Brewing Company,Greeley, CO,40.4233142,-104.7091322,Greeley  CO,,,Greeley,Colorado,United States,,"Greeley, Weld County, Colorado, United States",,,,,,,,GreeleyCO
291,Tommyknocker Brewery,Idaho Springs, CO,39.7424881,-105.5136081,Idaho Springs  CO,,,Idaho Springs,Colorado,United States,,"Idaho Springs, Clear Creek County, Colorado, United States",,,,,,,,IdahoSpringsCO
104,Lone Tree Brewing Company,Lone Tree, CO,39.536482,-104.8970678,Lone Tree  CO,,,Lone Tree,Colorado,United States,,"Lone Tree, Douglas County, Colorado, United States",,,,,,,,LoneTreeCO
166,Oskar Blues Brewery,Longmont, CO,40.1672068,-105.1019275,Longmont  CO,,,Longmont,Colorado,United States,,"Longmont, Boulder County, Colorado, United States",,,,,,,,LongmontCO
144,Grimm Brothers Brewhouse,Loveland, CO,40.3977612,-105.0749801,Loveland  CO,,,Loveland,Colorado,United States,,"Loveland, Larimer County, Colorado, United States",,,,,,,,LovelandCO
503,Oskar Blues Brewery,Lyons, CO,40.2247075,-105.271378,Lyons  CO,,,Lyons,Colorado,United States,,"Lyons, Boulder County, Colorado, United States",,,,,,,,LyonsCO
355,Pikes Peak Brewing Company,Monument, CO,39.0916586,-104.872758,Monument  CO,,,Monument,Colorado,United States,,"Monument, El Paso County, Colorado, United States",,,,,,,,MonumentCO
341,Palisade Brewing Company,Palisade, CO,39.1102587,-108.3509193,Palisade  CO,,,Palisade,Colorado,United States,81526,"Palisade, Mesa County, Colorado, United States, 81526",,,,,,,,PalisadeCO
386,Revolution Brewing,Paonia, CO,38.8683204,-107.5920017,Paonia  CO,,,Paonia,Colorado,United States,81428,"Paonia, Delta County, Colorado, United States, 81428",,,,,,,,PaoniaCO
